Rating,AccountId,NumberOfCustomers,NetValueCalculated,Number of transactions,SAPRelation,NumberOfEmployees,Industry
C,31510,1,48.38,1,Prospective Customer,<50,Public Services
C,8796606,1,60.0,1,Prospective Customer,<50,Discrete Industries
C,36237,1,147.0,1,Prospective Customer,250>x>50,Public Services
C,25756139,1,179.0,1,Customer,250>x>50,Service Industries
C,16887054,1,227.79,1,Customer,250>x>50,Service Industries
B,27847822,1,377.54,1,Customer,250>x>50,Service Industries
B,28236441,1,419.49,1,Customer,250>x>50,Service Industries
A,1084459,1,5988.0,1,Consultant,>250,Energy and Natural Resources
C,28212354,1,0.0,1,Customer,250>x>50,Service Industries
C,28237284,1,0.0,1,Customer,250>x>50,Service Industries
C,28241089,1,0.0,1,Customer,250>x>50,Service Industries
C,28241759,1,0.0,1,Customer,250>x>50,Service Industries
C,28244578,1,0.0,1,Customer,250>x>50,Service Industries
C,28249608,1,0.0,1,Customer,250>x>50,Service Industries
C,28250028,1,0.0,1,Customer,250>x>50,Consumer Industries
C,28250078,1,0.0,1,Customer,250>x>50,Consumer Industries
C,28250156,1,0.0,1,Customer,250>x>50,Service Industries
C,7161373,1,0.0,1,Prospective Customer,250>x>50,Discrete Industries
C,22902118,1,40.35,1,Customer,<50,Service Industries
C,18324912,1,48.39,1,Customer,<50,Service Industries
C,16941714,1,147.0,1,Customer,250>x>50,Service Industries
C,24835317,1,225.0,1,Customer,250>x>50,Service Industries
C,28247562,1,225.0,1,Customer,250>x>50,Service Industries
C,28250648,1,225.81,1,Customer,250>x>50,Consumer Industries
C,28212359,1,250.0,1,Customer,250>x>50,Service Industries
C,28249889,1,250.0,1,Customer,250>x>50,Service Industries
C,7084299,1,250.0,1,Prospective Customer,250>x>50,Discrete Industries
C,28212362,1,295.03,1,Customer,250>x>50,Service Industries
C,28247564,1,299.0,1,Customer,250>x>50,Service Industries
C,4252529,1,299.0,1,Prospective Customer,250>x>50,Discrete Industries
C,28249466,1,327.81,1,Customer,250>x>50,Service Industries
C,7446617,1,327.81,1,Prospective Customer,250>x>50,Discrete Industries
B,28249551,1,377.54,1,Customer,250>x>50,Service Industries
B,28249569,1,405.0,1,Customer,250>x>50,Service Industries
C,10370066,1,419.49,1,Press/Analyst,>250,Energy and Natural Resources
C,18048161,1,419.49,1,Customer,<50,Service Industries
B,28248721,1,419.49,1,Customer,250>x>50,Service Industries
B,28249158,1,419.49,1,Customer,250>x>50,Service Industries
C,28250080,1,419.49,1,Customer,250>x>50,Consumer Industries
B,28201980,1,512.12,1,Customer,250>x>50,Service Industries
B,28244427,1,431.1,1,Customer,250>x>50,Service Industries
B,14379414,1,451.01,1,Consultant,250>x>50,Service Industries
B,28241444,1,479.0,1,Customer,250>x>50,Service Industries
B,28250026,1,504.24,1,Customer,250>x>50,Service Industries
B,23071241,1,1183.12,1,Customer,<50,Service Industries
A,1219635,1,1800.0,1,Consultant,>250,Financial Services
A,1230895,1,1800.0,1,Consultant,>250,Financial Services
C,50057600,1,1800.0,1,Prospective Customer,<50,Discrete Industries
A,159926,1,7050.0,1,Customer,<50,Service Industries
A,4469255,1,27928.81,1,Prospective Customer,>250,Discrete Industries
C,1126513,1,0.0,1,Consultant,>250,Financial Services
C,23790638,1,0.0,1,Customer,<50,Service Industries
C,25530441,1,0.0,1,Customer,250>x>50,Service Industries
C,28219962,1,0.0,1,Customer,250>x>50,Service Industries
C,28250489,1,0.0,1,Customer,250>x>50,Service Industries
C,28255848,1,0.0,1,Customer,250>x>50,Consumer Industries
C,28258343,1,0.0,1,Customer,250>x>50,Service Industries
C,28264034,1,0.0,1,Customer,250>x>50,Service Industries
C,28264192,1,0.0,1,Customer,250>x>50,Consumer Industries
C,8201726,1,0.0,1,Prospective Customer,250>x>50,Discrete Industries
C,24647022,1,58.3,1,Customer,<50,Service Industries
C,26070812,1,250.0,1,Customer,250>x>50,Service Industries
C,28264389,1,250.0,1,Customer,250>x>50,Consumer Industries
C,28264553,1,250.0,1,Customer,250>x>50,Consumer Industries
C,28264204,1,403.21999999999997,1,Customer,250>x>50,Consumer Industries
B,28259681,1,377.54,1,Customer,250>x>50,Service Industries
C,28264550,1,377.54,1,Customer,250>x>50,Consumer Industries
B,13715850,1,419.49,1,Consultant,>250,Financial Services
B,21648240,1,419.49,1,Customer,250>x>50,Service Industries
C,23134285,1,419.49,1,Customer,<50,Service Industries
C,11142830,1,499.52,1,Consultant,>250,Energy and Natural Resources
C,4745430,1,480.0,1,Prospective Customer,250>x>50,Discrete Industries
C,28264475,1,504.24,1,Customer,250>x>50,Consumer Industries
C,16512356,1,885.1,1,Customer,<50,Service Industries
B,7848508,1,1475.17,1,Prospective Customer,250>x>50,Discrete Industries
A,7438856,1,7200.0,1,Prospective Customer,250>x>50,Discrete Industries
C,1239470,1,0.0,1,Consultant,>250,Financial Services
C,17259518,1,0.0,1,Customer,<50,Service Industries
C,28219964,1,0.0,1,Customer,250>x>50,Service Industries
C,28281491,1,0.0,1,Customer,250>x>50,Consumer Industries
C,28282064,1,0.0,1,Customer,250>x>50,Consumer Industries
C,4945870,1,0.0,1,Prospective Customer,<50,Discrete Industries
C,8163928,1,48.95,1,Prospective Customer,250>x>50,Discrete Industries
C,10806048,1,53.39,1,Consultant,>250,Energy and Natural Resources
C,28281515,1,225.0,1,Customer,250>x>50,Consumer Industries
C,28220030,1,250.0,1,Customer,250>x>50,Service Industries
C,28281921,1,250.0,1,Customer,250>x>50,Consumer Industries
C,3847715,1,312.71,1,Prospective Customer,250>x>50,Discrete Industries
B,25800642,1,377.54,1,Customer,250>x>50,Service Industries
C,7249296,1,377.54,1,Prospective Customer,250>x>50,Discrete Industries
B,17030608,1,419.49,1,Customer,250>x>50,Service Industries
B,209667,1,419.49,1,Customer,250>x>50,Service Industries
B,25138632,1,419.49,1,Customer,250>x>50,Service Industries
B,25219190,1,419.49,1,Customer,250>x>50,Service Industries
C,28281889,1,419.49,1,Customer,250>x>50,Consumer Industries
C,28281923,1,419.49,1,Customer,250>x>50,Consumer Industries
C,7446939,1,419.49,1,Prospective Customer,250>x>50,Discrete Industries
B,28277392,1,910.1,1,Customer,250>x>50,Consumer Industries
C,28282062,1,755.08,1,Customer,250>x>50,Consumer Industries
B,4836914,1,1510.17,1,Prospective Customer,250>x>50,Discrete Industries
A,4865326,1,5484.34,1,Prospective Customer,250>x>50,Discrete Industries
C,1090245,1,0.0,1,Consultant,>250,Energy and Natural Resources
C,1146267,1,0.0,1,Consultant,>250,Financial Services
C,26790736,1,0.0,1,Customer,<50,Service Industries
C,28291464,1,0.0,1,Customer,250>x>50,Consumer Industries
C,28294795,1,0.0,1,Customer,250>x>50,Consumer Industries
C,28296072,1,0.0,1,Customer,250>x>50,Consumer Industries
C,28296604,1,0.0,1,Customer,250>x>50,Consumer Industries
C,28306688,1,0.0,1,Customer,250>x>50,Service Industries
C,39487,1,0.0,1,Prospective Customer,250>x>50,Discrete Industries
C,10696803,1,53.39,1,Consultant,>250,Energy and Natural Resources
C,210080,1,53.39,1,Customer,250>x>50,Service Industries
C,26207350,1,53.39,1,Customer,250>x>50,Service Industries
C,4439475,1,147.0,1,Prospective Customer,250>x>50,Discrete Industries
C,1209271,1,147.74,1,Consultant,>250,Financial Services
C,3814609,1,196.0,1,Prospective Customer,250>x>50,Public Services
C,28305338,1,225.0,1,Customer,250>x>50,Consumer Industries
C,7353142,1,250.0,1,Prospective Customer,250>x>50,Discrete Industries
C,9630917,1,250.0,1,Prospective Customer,250>x>50,Discrete Industries
C,1206159,1,276.07,1,Consultant,>250,Financial Services
B,12599109,1,377.54,1,Consultant,>250,Financial Services
B,26007848,1,377.54,1,Customer,250>x>50,Service Industries
C,28305189,1,755.08,1,Customer,250>x>50,Consumer Industries
C,28298062,1,419.49,1,Customer,250>x>50,Consumer Industries
C,28305333,1,419.49,1,Customer,250>x>50,Consumer Industries
C,28305335,1,419.49,1,Customer,250>x>50,Consumer Industries
B,28228399,1,450.0,1,Customer,250>x>50,Service Industries
C,28296953,1,450.0,1,Customer,250>x>50,Consumer Industries
C,26594941,1,468.18,1,Customer,<50,Service Industries
C,28289002,1,468.18,1,Customer,250>x>50,Consumer Industries
B,28144540,1,479.0,1,Customer,250>x>50,Service Industries
C,28282445,1,479.0,1,Customer,250>x>50,Consumer Industries
C,28282537,1,479.0,1,Customer,250>x>50,Consumer Industries
C,28288937,1,479.0,1,Customer,250>x>50,Consumer Industries
C,28290590,1,479.0,1,Customer,250>x>50,Consumer Industries
B,253529,1,528.81,1,Customer,250>x>50,Service Industries
B,27861864,1,661.94,1,Customer,250>x>50,Service Industries
B,268855,1,755.08,1,Customer,250>x>50,Service Industries
C,28298289,1,755.08,1,Customer,250>x>50,Consumer Industries
C,28305684,1,755.08,1,Customer,250>x>50,Consumer Industries
C,28306153,1,755.08,1,Customer,250>x>50,Consumer Industries
B,28291934,1,900.0,1,Customer,250>x>50,Consumer Industries
A,1225101,1,2250.0,1,Consultant,>250,Financial Services
C,28307571,1,0.0,1,Customer,250>x>50,Service Industries
C,28307604,1,0.0,1,Customer,250>x>50,Service Industries
C,28308145,1,0.0,1,Customer,250>x>50,Service Industries
C,7268580,1,45.76,1,Prospective Customer,250>x>50,Discrete Industries
C,1134756,1,49.0,1,Consultant,>250,Financial Services
C,13298757,1,49.0,1,Consultant,>250,Financial Services
C,173411,1,53.39,1,Customer,<50,Service Industries
C,14838617,1,55.93,1,Customer,250>x>50,Service Industries
C,8491343,1,60.0,1,Prospective Customer,250>x>50,Discrete Industries
C,1156706,1,195.82,1,Consultant,>250,Financial Services
C,25224028,1,137.29,1,Customer,250>x>50,Service Industries
C,1098191,1,294.0,1,Consultant,>250,Energy and Natural Resources
B,12674704,1,377.54,1,Consultant,>250,Financial Services
B,28307224,1,468.18,1,Customer,250>x>50,Service Industries
B,28308139,1,755.08,1,Customer,250>x>50,Service Industries
C,26741428,1,0.0,1,Customer,<50,Service Industries
C,28308339,1,0.0,1,Customer,250>x>50,Service Industries
C,28309604,1,0.0,1,Customer,250>x>50,Service Industries
C,15070231,1,53.39,1,Customer,250>x>50,Service Industries
C,4508842,1,53.39,1,Prospective Customer,<50,Discrete Industries
C,15981022,1,200.0,1,Customer,<50,Service Industries
C,28308616,1,292.05,1,Customer,250>x>50,Service Industries
B,22973992,1,1800.0,1,Customer,<50,Service Industries
C,20118647,1,0.0,1,Customer,<50,Service Industries
C,24216306,1,0.0,1,Customer,<50,Service Industries
C,28327873,1,0.0,1,Customer,250>x>50,Service Industries
C,28363540,1,0.0,1,Customer,250>x>50,Service Industries
C,28366223,1,0.0,1,Customer,250>x>50,Service Industries
C,28366831,1,0.0,1,Customer,250>x>50,Service Industries
C,28373390,1,0.0,1,Customer,250>x>50,Service Industries
C,2909986,1,0.0,1,Customer,250>x>50,Consumer Industries
C,4695767,1,0.0,1,Prospective Customer,250>x>50,Discrete Industries
C,162957,1,45.76,1,Customer,<50,Service Industries
C,166078,1,45.76,1,Customer,<50,Service Industries
C,9581012,1,45.76,1,Prospective Customer,250>x>50,Discrete Industries
A,11723109,1,1846.36,1,Consultant,>250,Financial Services
C,168329,1,48.34,1,Customer,>250,Service Industries
C,1128031,1,49.0,1,Consultant,>250,Financial Services
C,1206891,1,49.0,1,Consultant,>250,Financial Services
C,18749229,1,49.0,1,Customer,<50,Service Industries
C,12036191,1,53.39,1,Consultant,>250,Financial Services
C,17345703,1,63.0,1,Customer,<50,Service Industries
C,18805379,1,141.51,1,Customer,<50,Service Industries
C,12606019,1,250.0,1,Consultant,>250,Financial Services
B,28381528,1,419.49,1,Customer,250>x>50,Service Industries
C,28366829,1,327.81,1,Customer,250>x>50,Service Industries
C,4838331,1,602.54,1,Prospective Customer,250>x>50,Discrete Industries
B,28347779,1,397.69,1,Customer,250>x>50,Service Industries
